State,District,Latitude,Longitude,District code,Population,Households,Households_with_Internet,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Ownership_Owned_Households,Ownership_Rented_Households,sex_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,817714,5512,194954,8338,96998,559211,77594,100.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,1244428,8606,223016,9915,144214,779195,172680,98.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,1303870,13763,324406,16296,186568,815953,196720,100.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,1605841,22411,479914,25381,232073,1088823,278383,101.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,1582990,19383,648568,17424,190079,981115,276073,100.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,1066289,149034,581509,124106,439890,437146,422826,95.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1165280,8831,344667,14175,192965,823820,141432,101.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,870625,8628,219710,11887,115078,616617,115379,101.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,1476334,30438,632890,27969,212111,863382,328243,99.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,1090835,10081,195001,10622,118153,710444,156505,99.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,1010015,6153,136843,12615,121553,800743,66068,98.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,789132,8635,163074,14362,119276,570933,90125,99.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1030937,7715,228818,18927,143010,760789,103172,98.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,720298,5261,186740,10088,102049,490840,93887,104.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1087575,6151,290947,9071,105940,717208,127205,98.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,902436,3988,149554,5264,64087,610487,68045,101.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,749514,4453,140361,5002,61858,514227,68076,102.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1046987,12952,237349,15727,139404,761465,117060,100.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1255628,12050,435334,14687,182698,836015,207958,100.0
